madvhc,ten,cap,captren
412,Thành phố Vinh,HUYEN,40
413,Thị xã Cửa Lò,HUYEN,40
414,Thị xã Thái Hoà,HUYEN,40
415,Huyện Quế Phong,HUYEN,40
416,Huyện Quỳ Châu,HUYEN,40
417,Huyện Kỳ Sơn,HUYEN,40
418,Huyện Tương Dương,HUYEN,40
419,Huyện Nghĩa Đàn,HUYEN,40
420,Huyện Quỳ Hợp,HUYEN,40
421,Huyện Quỳnh Lưu,HUYEN,40
422,Huyện Con Cuông,HUYEN,40
423,Huyện Tân Kỳ,HUYEN,40
424,Huyện Anh Sơn,HUYEN,40
425,Huyện Diễn Châu,HUYEN,40
426,Huyện Yên Thành,HUYEN,40
427,Huyện Đô Lương,HUYEN,40
428,Huyện Thanh Chương,HUYEN,40
429,Huyện Nghi Lộc,HUYEN,40
430,Huyện Nam Đàn,HUYEN,40
431,Huyện Hưng Nguyên,HUYEN,40
432,Thị xã Hoàng Mai,HUYEN,40
436,Thành phố Hà Tĩnh,HUYEN,42
437,Thị xã Hồng Lĩnh,HUYEN,42
439,Huyện Hương Sơn,HUYEN,42
440,Huyện Đức Thọ,HUYEN,42
441,Huyện Vũ Quang,HUYEN,42
442,Huyện Nghi Xuân,HUYEN,42
443,Huyện Can Lộc,HUYEN,42
444,Huyện Hương Khê,HUYEN,42
445,Huyện Thạch Hà,HUYEN,42
446,Huyện Cẩm Xuyên,HUYEN,42
447,Huyện Kỳ Anh,HUYEN,42
448,Huyện Lộc Hà,HUYEN,42
449,Thị xã Kỳ Anh,HUYEN,42
450,Thành Phố Đồng Hới,HUYEN,44
452,Huyện Minh Hóa,HUYEN,44
453,Huyện Tuyên Hóa,HUYEN,44
454,Huyện Quảng Trạch,HUYEN,44
455,Huyện Bố Trạch,HUYEN,44
456,Huyện Quảng Ninh,HUYEN,44
457,Huyện Lệ Thủy,HUYEN,44
458,Thị xã Ba Đồn,HUYEN,44
461,Thành phố Đông Hà,HUYEN,45
462,Thị xã Quảng Trị,HUYEN,45
464,Huyện Vĩnh Linh,HUYEN,45
465,Huyện Hướng Hóa,HUYEN,45
466,Huyện Gio Linh,HUYEN,45
467,Huyện Đa Krông,HUYEN,45
468,Huyện Cam Lộ,HUYEN,45
469,Huyện Triệu Phong,HUYEN,45
470,Huyện Hải Lăng,HUYEN,45
474,Thành phố Huế,HUYEN,46
476,Huyện Phong Điền,HUYEN,46
477,Huyện Quảng Điền,HUYEN,46
478,Huyện Phú Vang,HUYEN,46
479,Thị xã Hương Thủy,HUYEN,46
480,Thị xã Hương Trà,HUYEN,46
481,Huyện A Lưới,HUYEN,46
482,Huyện Phú Lộc,HUYEN,46
483,Huyện Nam Đông,HUYEN,46
490,Quận Liên Chiểu,HUYEN,48
491,Quận Thanh Khê,HUYEN,48
492,Quận Hải Châu,HUYEN,48
493,Quận Sơn Trà,HUYEN,48
494,Quận Ngũ Hành Sơn,HUYEN,48
495,Quận Cẩm Lệ,HUYEN,48
497,Huyện Hòa Vang,HUYEN,48
502,Thành phố Tam Kỳ,HUYEN,49
503,Thành phố Hội An,HUYEN,49
504,Huyện Tây Giang,HUYEN,49
505,Huyện Đông Giang,HUYEN,49
506,Huyện Đại Lộc,HUYEN,49
507,Thị xã Điện Bàn,HUYEN,49
508,Huyện Duy Xuyên,HUYEN,49
509,Huyện Quế Sơn,HUYEN,49
510,Huyện Nam Giang,HUYEN,49
511,Huyện Phước Sơn,HUYEN,49
512,Huyện Hiệp Đức,HUYEN,49
513,Huyện Thăng Bình,HUYEN,49
514,Huyện Tiên Phước,HUYEN,49
515,Huyện Bắc Trà My,HUYEN,49
516,Huyện Nam Trà My,HUYEN,49
517,Huyện Núi Thành,HUYEN,49
518,Huyện Phú Ninh,HUYEN,49
519,Huyện Nông Sơn,HUYEN,49
522,Thành phố Quảng Ngãi,HUYEN,51
524,Huyện Bình Sơn,HUYEN,51
525,Huyện Trà Bồng,HUYEN,51
526,Huyện Tây Trà,HUYEN,51
527,Huyện Sơn Tịnh,HUYEN,51
528,Huyện Tư Nghĩa,HUYEN,51
529,Huyện Sơn Hà,HUYEN,51
530,Huyện Sơn Tây,HUYEN,51
531,Huyện Minh Long,HUYEN,51
532,Huyện Nghĩa Hành,HUYEN,51
533,Huyện Mộ Đức,HUYEN,51
534,Huyện Đức Phổ,HUYEN,51
535,Huyện Ba Tơ,HUYEN,51
536,Huyện Lý Sơn,HUYEN,51
540,Thành phố Qui Nhơn,HUYEN,52
542,Huyện An Lão,HUYEN,52
543,Huyện Hoài Nhơn,HUYEN,52
544,Huyện Hoài Ân,HUYEN,52
545,Huyện Phù Mỹ,HUYEN,52
546,Huyện Vĩnh Thạnh,HUYEN,52
547,Huyện Tây Sơn,HUYEN,52
548,Huyện Phù Cát,HUYEN,52
549,Thị xã An Nhơn,HUYEN,52
550,Huyện Tuy Phước,HUYEN,52
551,Huyện Vân Canh,HUYEN,52
555,Thành phố Tuy Hoà,HUYEN,54
557,Thị xã Sông Cầu,HUYEN,54
558,Huyện Đồng Xuân,HUYEN,54
559,Huyện Tuy An,HUYEN,54
560,Huyện Sơn Hòa,HUYEN,54
561,Huyện Sông Hinh,HUYEN,54
562,Huyện Tây Hoà,HUYEN,54
563,Huyện Phú Hoà,HUYEN,54
564,Huyện Đông Hòa,HUYEN,54
568,Thành phố Nha Trang,HUYEN,56
569,Thành phố Cam Ranh,HUYEN,56
570,Huyện Cam Lâm,HUYEN,56
571,Huyện Vạn Ninh,HUYEN,56
572,Thị xã Ninh Hòa,HUYEN,56
